x_2018,y_2018,x_2019,y_2019,Fecha_2018,Fecha_2019,Real_2018,Prevista_2018,Programada_2018,Real_2019,Prevista_2019,Programada_2019,Mes,Dia,Temp_2018,Prec_2018,Prec_2019,Temp_2019
40,5,41,4,2018-04-27,2019-04-27,28127.0,28132.52083333333,28096.16666666667,24984.0625,25026.89583333333,25005.41666666667,4,27,15.657894736842104,0.6289473684210525,0.061538461538461535,13.74871794871795
41,5,42,4,2018-04-28,2019-04-28,25143.0,25159.43055555556,25133.08333333333,22445.82638888889,22486.70138888889,22423.29166666667,4,28,13.010810810810808,2.5315789473684207,0.002564102564102564,15.44102564102564
42,5,36,5,2018-04-29,2019-04-29,23207.0,23253.35416666667,23095.45833333333,26645.97916666667,26669.47916666667,26720.66666666667,4,29,10.534210526315789,2.4631578947368418,0.02820512820512821,16.37948717948718
36,6,37,5,2018-04-30,2019-04-30,25762.0,25752.70833333333,25740.33333333333,27283.63888888889,27366.56944444444,27339.125,4,30,9.978947368421052,4.286842105263157,0.08205128205128205,16.74871794871795
46,1,47,1,2018-05-01,2019-05-01,23245.0,23245.0,23172.125,22980.13888888889,23047.95138888889,22908.41666666667,5,1,10.28684210526316,1.4000000000000001,0.3923076923076923,16.54615384615385
47,1,48,1,2018-05-02,2019-05-02,27345.0,27356.14583333333,27288.54166666667,26412.11111111111,26384.625,26434.125,5,2,11.813157894736841,1.4605263157894737,0.35384615384615375,16.0974358974359
48,1,49,1,2018-05-03,2019-05-03,28594.0,28593.95833333333,28618.41666666667,27377.04861111111,27384.70138888889,27415.91666666667,5,3,13.310526315789474,0.23421052631578948,1.2641025641025643,14.341025641025645
49,1,50,1,2018-05-04,2019-05-04,28600.0,28604.5625,28535.91666666667,24968.25694444444,24953.10416666667,24866.875,5,4,13.231578947368423,0.2578947368421052,0.18974358974358976,14.484615384615385
50,1,51,1,2018-05-05,2019-05-05,25496.0,25512.4375,25412.16666666667,23071.72916666667,23063.63194444444,22985.25,5,5,15.257894736842104,0.7105263157894735,0.0,14.84871794871795
51,1,45,2,2018-05-06,2019-05-06,23267.0,23301.36111111111,23174.625,27274.215277777777,27246.472222222223,27314.875,5,6,17.007894736842104,1.0421052631578949,0.1333333333333333,15.694871794871796
45,2,46,2,2018-05-07,2019-05-07,27771.0,27791.3125,27843.79166666667,28163.99305555556,28217.222222222223,28184.83333333333,5,7,17.68421052631579,0.47105263157894733,1.1256410256410256,16.4
46,2,47,2,2018-05-08,2019-05-08,28450.0,28419.44444444444,28476.875,28482.19444444444,28455.04166666667,28456.66666666667,5,8,17.484210526315795,1.3842105263157896,0.9230769230769232,16.192307692307686
47,2,48,2,2018-05-09,2019-05-09,28388.0,28411.06944444444,28350.70833333333,28430.673611111113,28438.39583333333,28408.75,5,9,16.717948717948715,0.6128205128205129,3.599999999999999,15.912820512820517
48,2,49,2,2018-05-10,2019-05-10,28298.0,28208.361111111113,28229.66666666667,28143.02083333333,28221.590277777777,28116.66666666667,5,10,16.256410256410255,0.6666666666666666,0.23333333333333336,18.74358974358974
49,2,50,2,2018-05-11,2019-05-11,28210.0,28213.50694444444,28230.125,25136.75,25127.52083333333,25145.04166666667,5,11,16.01025641025641,0.8256410256410257,0.010256410256410256,18.043589743589745
